nazwa,kategoria nadrzedna,aktywny,opis
Soczewki kontaktowe,,1,
Dla niego,,1,"W kategorii dla niego znajdują się produkty przeznaczone do pielęgnacji ciała, twarzy i włosów, a także dezodoranty i antyperspiranty skutecznie hamujące nadmierną potliwość. Ponadto w ofercie sprzedaży posiadamy także witaminy i mikroelementy, które wspomagają funkcjonowanie prostaty, wzmacniają potencję oraz łagodzą objawy andropauzy."
Sprzęt medyczny,,1,"Oprócz szerokiego asortymentu leków i suplementów diety, proponujemy także wysokiej jakości sprzęt medyczny i rehabilitacyjny. Dysponujemy profesjonalnymi ciśnieniomierzami, inhalatorami, glukometrami oraz pulsometrami. Proponujemy również różnego rodzaju akcesoria medyczne, aparaty do masażu stóp i testy diagnostyczne do wykonywania w warunkach domowych."
Artykuły higieniczne,,1,"Chusteczki nawilżające, preparaty do oczyszczania uszu, płyny do higieny intymnej, pumeksy i pilniki do paznokci – to przykładowe artykuły higieniczne, które można znaleźć w ofercie naszej apteki. Oferujemy także wysokiej jakości hipoalergiczną chemię gospodarczą: proszki do prania (ekologiczne oraz dla skóry wrażliwej), płyny do mycia naczyń np. hipoalergiczne, odplamiacze i wybielacze, środki do dezynfekcji oraz wiele innych produktów przystosowanych dla alergików."
Higiena jamy ustnej,,1,"Właściwa higiena jamy ustnej jest niezbędna do utrzymania zębów i dziąseł w dobrej kondycji. By nie utracić pięknego uśmiechu, poza wizytami u lekarza stomatologa, warto wykonywać proste czynności obniżające ryzyko wystąpienia próchnicy czy innych schorzeń. 
W tym celu oferujemy szeroki wybór past do zębów, nici dentystycznych, płynów do płukania jamy ustnej i wielu innych produktów."
Zdrowa żywność,,1,"Kwestii zdrowego odżywiania poświęca się coraz więcej uwagi. Szczególny nacisk kładzie się na spożywanie produktów organicznych, bazujących na naturalnych składnikach. W ofercie naszej apteki można znaleźć ekologiczne produkty bezglutenowe i bezlaktozowe, różnego rodzaju oleje roślinne tłoczone na zimno, kawy przyjazne dla żołądka oraz wiele innych produktów o dobroczynnym wpływie na zdrowie."
Dla sportowców,,1,"Odżywki i suplementy diety tworzone z myślą o osobach aktywnych fizycznie pomagają osiągnąć maksymalną formę sportową. Preparaty te dostępne są bez recepty, nie wpływają na gospodarkę hormonalną, wspomagają budowę tkanki mięśniowej i nie wywołują efektów ubocznych. W ofercie posiadamy odżywki wysokobiałkowe, węglowodanowe, a także zawierające aminokwasy. "
Testy diagnostyczne,,1,"Testy diagnostyczne przeznaczone do domowego użytku znajdują zastosowanie w wielu różnych działach medycyny, takich jak gastrologia czy ginekologia . Poza testami ciążowymi, oferujemy szeroki wybór testów płodności, wykrywających antygeny czy służących do oznaczania poziomu cholesterolu. Wykonuje się je głównie w oparciu o mocz, krew, kał oraz ślinę."
Higiena dzieci,,1,
Pielęgnacja dzieci,,1,"Prawidłowa pielęgnacja dziecka ma znaczenie nie tylko dla jego zdrowia i właściwego rozwoju, ale także dla dobrego samopoczucia każdego dnia. Dostępne w tej kategorii kosmetyki są dedykowane dla maluchów by łagodnie oczyszczać naskórek i wzmacniać jego naturalną barierę ochronną. Każdy z produktów zapewnia właściwy poziom nawilżenia i zapobiega nadmiernej suchości skóry."
Dermokosmetyki do ciała,,1,"Wrażliwa, podatna na podrażnienia i alergie skóra wymaga specjalnej pielęgnacji. Najlepszym wyborem są preparaty pozbawione sztucznych konserwantów, barwników i aromatów. Przedstawiamy sprawdzone dermokosmetyki polskich i zagranicznych marek."
Zdrowie dzieci,,1,"W trosce o zdrowie dzieci i niemowląt już od pierwszych dni życia stworzono szereg specjalistycznych preparatów leczniczych oraz suplementów diety. Dostępne w tej kategorii produkty pomagają zwalczyć kolkę, bóle brzuszka, wzdęcia czy złagodzić dolegliwości towarzyszące ząbkowaniu. Poza lekami, oferujemy również suplementy diety wspomagające apetyt oraz redukujące objawy alergii."
Dla dzieci i niemowląt,,1,"Pielęgnacja dzieci oraz niemowląt wymaga doboru odpowiednich preparatów pielęgnacyjnych oraz różnego rodzaju akcesoriów. Szczególnie ważne jest dbanie o wyjątkowo delikatny naskórek dzieci, by zapobiegać podrażnieniom oraz powstawaniu odparzeń. Oferujemy szeroką gamę kosmetyków hipoalergicznych, artykułów higienicznych, akcesoriów do kąpieli i wiele innych produktów."
Bez recepty,,1,"Oferujemy szeroki wybór preparatów bez recepty, które zwalczają ból, łagodzą objawy alergii, wspierają prawidłową pracę układu krążenia, a także wspomagają płodność. Wszystkie proponowane leki i suplementy diety umożliwiają samodzielne leczenie i zwalczanie wielu uciążliwych dolegliwości."
pielęgnacja zarostu,Dla niego,1,"Noszenie brody stało się ostatnimi czasy bardzo modne. Panowie z zarostem i to pokaźnym, przyciągają uwagę i nierzadko podbijają kobiece serca. By jednak faktycznie można było z zainteresowaniem spojrzeć na brodatego mężczyznę, jego zarost musi być zadbany, a to niełatwe zadanie. O czym warto pamiętać i jak przedstawia się pielęgnacja brody?"
Dla mamy i kobiety w ciąży,,1,"Każda kobieta w ciąży musi zadbać nie tylko o siebie, ale również o swoje dziecko. Oferujemy szeroki wybór preparatów mineralno-witaminowych, uzupełniających niedobory składników odżywczych, niezbędnych zarówno dla mamy, jak i jej malucha, a także różnego rodzaju artykuły higieniczne i akcesoria ułatwiające poród oraz opiekę nad noworodkiem."
dezodoranty i antyperspiranty,Dla niego,1,"Dezodoranty i antyperspiranty tworzone dla mężczyzn mają za zadanie nie tylko skutecznie redukować nadmierne pocenie, ale także ograniczać wydzielanie nieprzyjemnego zapachu i zapewniać długotrwały efekt ochronny. Dostępne produkty odznaczają się wysoką skutecznością, a dzięki innowacyjnym formułom nie pozostawiają śladów na ubraniach, przynosząc natychmiastowe uczucie świeżości."
Żywienie dzieci,,1,"Poza mlekiem początkowym, następnym i specjalistycznym, oferujemy szeroką gamę produktów żywieniowych dla dzieci i niemowląt, które zostały wyprodukowane bez dodatku substancji konserwujących oraz barwników. W asortymencie znajdują się między innymi desery, kaszki, zupki, soki, płatki śniadaniowe, herbatki owocowe, a także słodycze."
soczewki kontaktowe,Soczewki kontaktowe,1,"Dla wielu osób możliwość noszenia soczewek kontaktowych jest dużym udogodnieniem. Są nie tylko niezwykle wygodne i komfortowe, nie utrudniają wielu codziennych czynności, ale pozwalają również zwiększyć pewność siebie – nie wszyscy czują się dobrze w okularach, zwłaszcza, jeśli mają problem z dopasowaniem np. opraw do rysów twarzy. Kiedy warto stosować soczewki kontaktowe, co należy o nich wiedzieć?"
Dermokosmetyki do twarzy,,1,"Dostępne w naszej aptece dermokosmetyki do pielęgnacji twarzy to nowoczesne preparaty, które działają łagodnie, nie podrażniając i nie wysuszając skóry. Są przeznaczone zarówno do pielęgnowania cery zdrowej, jak i z różnego rodzaju problemami dermatologicznymi. Wszystkie oferowane dermokosmetyki  są w pełni bezpieczne i zostały starannie przebadane pod kątem dermatologicznym."
preparaty przeciw wypadaniu włosów,Dla niego,1,"Preparaty znajdujące się w tej kategorii zostały stworzone z myślą o mężczyznach obserwujących u siebie nadmierne wypadanie włosów, również o podłożu androgenowym. Dostępne szampony, odżywki oraz kapsułki skutecznie wzmacniają cebulki włosowe, sprawiając, że włosy stają się wyraźnie grubsze, lepiej odżywione oraz odzyskują swój utracony blask."
andropauza,Dla niego,1,"Andropauza jest dość specyficznym okresem w życiu każdego mężczyzny, który zazwyczaj rozpoczyna się po pięćdziesiątym roku życia. Męskim objawom przekwitania mogą towarzyszyć dolegliwości seksualne, psychologiczne oraz somatyczne. Skutecznym sposobem na łagodzenie dolegliwości andropauzy są leki na bazie wyciągów z ziół oraz hormonów steroidowych, zwłaszcza prasteronu."
akcesoria kosmetyczne,Dla niego,1,
hipoalergiczne produkty do prania i czyszczenia,Artykuły higieniczne,1,"Żele i balsamy do mycia naczyń, proszki, listki i płyny do prania, koncentraty do płukania czy chusteczki do czyszczenia akcesoriów - to główne produkty czyszczące i piorące, które można znaleźć w tej kategorii. Proponowane środki posiadają doskonałe właściwości myjące, a dzięki starannie dobranym związkom aktywnym skutecznie usuwają wszelkie zabrudzenia z powierzchni naczyń, tkanin oraz wszystkich powierzchni wymagających dezynfekcji."
dezynfekcja,Artykuły higieniczne,1,"Środki dezynfekujące mają na celu niszczenie drobnoustrojów znajdujących się w zakażonych ranach. Mają one działanie bakteriobójcze, grzybobójcze, wirusobójcze oraz przeciwpierwotniakowe. W naszej aptece oferujemy preparaty do dezynfekowania skóry i błon śluzowych w formie roztworów do przemywania ran, proszków oraz pianek oczyszczająco-pielęgnujących."
płyny do soczewek,Soczewki kontaktowe,1,"Płyny dezynfekujące do soczewek dzięki łagodnym środkom myjąco-pielęgnującym skutecznie usuwają wszelkie zanieczyszczenia i osady, by szkła kontaktowe mogły zachować świeżość i być wygodne w noszeniu przez cały dzień. Dostępne preparaty pozwalają na codzienną regenerację i utrzymywanie wilgotności na powierzchni soczewek, zabijając bakterie mogące powodować zakażenie oka."
ząbkowanie,Zdrowie dzieci,1,
witaminy i mikroelementy,Dla niego,1,"Suplementacja codziennej diety mężczyzn w odpowiednie witaminy i minerały jest niezwykle ważna dla utrzymania prawidłowego poziomu testosteronu, a także do właściwej pracy układu sercowo-naczyniowego, nerwowego czy mięśniowego. Szeroka gama preparatów w formie tabletek i kapsułek została stworzona w ten sposób, by odpowiadać potrzebom mężczyzn w różnym wieku."
zdrowe zęby,Zdrowie dzieci,1,
Akcesoria dziecięce,,1,"Akcesoria dla dzieci są to różnego rodzaju produkty, skonstruowane specjalnie z myślą o najmłodszych. Dopasowane do ich wieku, potrzeb, a nierzadko również płci. Akcesoria dla dzieci charakteryzują się wysoką jakością wykonania, precyzją w doborze materiałów, jak i opatrzeniem niezbędnymi certyfikatami czy też atestami, informującymi o dopuszczeniu do użytkowania przez dzieci. Odpowiednio zaprojektowane akcesoria dla najmłodszych są w stanie nie tylko ułatwiać czynności pielęgnacyjne, ale także wspierać naukę samodzielnego siadania, chodzenia czy spożywania posiłków. Dostępne w tej kategorii artykuły cechują się wysoką jakością i funkcjonalnością, pozwalając maluchowi czuć się bezpiecznie i pewnie na każdym etapie życia. Poza akcesoriami do butelek, takimi jak smoczki, uchwyty oraz ustniki, proponujemy również szeroką gamę produktów zwiększających bezpieczeństwo dziecka – są to głównie blokady drzwi oraz zabezpieczenia do szafek, szuflad i gniazdek. W tej kategorii można także znaleźć zabawki stymulujące rozwój dzieci: grzechotki, karuzele, maty edukacyjne oraz interaktywne książeczki."
urządzenia medyczne,Dla dzieci i niemowląt,1,"Urządzenia medyczne znajdujące się w tej kategorii doskonale sprawdzają się zarówno przy czynnościach pielęgnacyjnych, jak i przy karmieniu dzieci oraz niemowląt. Poza blenderami, sterylizatorami, lodówkami do mleka i innymi akcesoriami do przygotowywania pokarmu, oferujemy również szeroką gamę termometrów bezdotykowych, do pomiaru temperatury ciała i różnych powierzchni."
"plastry, kompresy, opatrunki",Artykuły higieniczne,1,"Plastry, kompresy, opatrunki, waty oraz gazy są przeznaczone do ogólnego opatrywania ran przy skaleczeniach, a także do stosowania przy zabiegach ambulatoryjnych i stacjonarnych. Poza kompresami z włókniny i ligniną, oferujemy również kompresy chłodzące, skutecznie redukujące ból oraz bezszwowe opaski elastyczne, przeznaczone do wzmacniania oraz ochrony stawów."
żywienie,Dla mamy i kobiety w ciąży,1,"Odpowiednie żywienie to jeden z ważniejszych czynników zapewniających zdrowie każdej przyszłej mamie, a także prawidłowy rozwój jej nienarodzonemu jeszcze maluszkowi. Dostępne w tej kategorii produkty to suplementy diety, które opracowano w ten sposób, by spełniać zarówno oczekiwania kobiet, jak i ich dzieci. Wzmacniają organizm pań w ciąży, a także gwarantują odpowiedni rozwój płodu."
oleje,Żywienie dzieci,1,"Znajdujące się w asortymencie naszej apteki ekologiczne oleje dla dzieci stanowią doskonałą propozycję dla mam, które chcą wzbogacić dietę swoich dzieci w nienasycone kwasy tłuszczowe. Dzięki temu, że zostały wyprodukowane metodą tłoczenia na zimno, zawierają w swoim składzie unikalne składniki odżywcze. Mogą być elementem zrównoważonego żywienia dzieci po ukończeniu czwartego miesiąca życia."
woda,Żywienie dzieci,1,"Woda to jeden z podstawowych składników diety każdego nowonarodzonego maluszka. W trosce o bezpieczeństwo i zdrowie niemowląt, warto sięgnąć po wodę najwyższej jakości, której skład będzie dostosowany do potrzeb małego organizmu. Dostępne w naszej aptece wody dla dzieci mogą być stosowane od pierwszych chwil życia – zawierają właściwą ilość składników mineralnych i doskonale gaszą pragnienie."
żywienie dzieci w chorobie,Żywienie dzieci,1,"By uzupełnić dietę kilkumiesięcznego malucha w niezbędne do właściwego rozwoju witaminy i minerały, warto sięgnąć po odpowiednią odżywkę. Poza preparatami wysokobiałkowymi oraz wysokoenergetycznymi, proponujemy szeroką gamę produktów do postępowania dietetycznego wzbogaconych o probiotyki, które mogą być stosowane w przypadkach osłabienia odporności czy wspomagająco w kolce jelitowej."
słodycze i przekąski,Żywienie dzieci,1,
pielęgnacja rzęs i brwi,Dermokosmetyki do twarzy,1,"Przy pomocy odpowiednio dobranych kosmetyków można nie tylko zagęścić i wydłużyć rzęsy, ale także poprawić ich kondycję. Dostępne w tej kategorii odżywki oraz serum to unikalne preparaty pielęgnacyjne, których formuły zostały wzbogacone składnikami przyspieszającymi wzrost rzęs. Dzięki naturalnym ekstraktom, kosmetyki te są w pełni bezpieczne dla wrażliwej skóry okolic oczu."
soki i nektary,Żywienie dzieci,1,"Łagodne soki oraz nektary owocowe mogą być podawane już od początku rozszerzania diety niemowlęcia. Niska zawartość kwasów, a także naturalnie słodki smak sprawiają, że dostępne produkty nie podrażniają delikatnego przewodu pokarmowego dziecka i są dobrze tolerowane przez mały organizm. Soki i nektary zawierają cenne makro i mikroelementy, wspierając prawidłowy rozwój malucha."
trądzik różowaty,Dermokosmetyki do twarzy,1,"Dostępne w tej kategorii dermokosmetyki są przeznaczone do codziennej pielęgnacji cery ze skłonnością do trądziku różowatego. Kremy, żele oraz emulsje do twarzy oczyszczają skórę z nadmiaru sebum, przywracają jej naturalną równowagę hydrolipidową, a także zmniejszają utrwalony rumień i zaczerwienienie. Dzięki unikalnym formułom, proponowane kosmetyki skutecznie poprawiają kondycję skóry."
ochrona przeciwsłoneczna,Dermokosmetyki do twarzy,1,
bielizna,Dla mamy i kobiety w ciąży,1,
przebarwienia,Dermokosmetyki do twarzy,1,"Przebarwienia oraz różnego rodzaju plamy pigmentacyjne to dość powszechne defekty kosmetyczne, które najczęściej występują na skórze twarzy, dłoni oraz przedramion. Do ich usuwania można wykorzystać preparaty rozjaśniające, które ujednolicają koloryt naskórka, zmniejszają wielkość przebarwień oraz ich intensywność, a za sprawą specjalnych kompleksów wybielających skutecznie blokują syntezę melaniny."
zdrowie,Dla mamy i kobiety w ciąży,1,"Wybór właściwego suplementu diety dla kobiety ciężarnej czy matki karmiącej piersią jest niezwykle ważny, gdyż pozwala uzupełnić codzienną dietę w cenne składniki odżywcze, takie jak witaminy, minerały czy nienasycone kwasy tłuszczowe. Dostępne w tej kategorii preparaty to unikalne produkty, których formuły zostały opracowane w ten sposób, by odpowiadać potrzebom kobiet na różnych etapach ciąży. Poza suplementami zawierającymi w składzie kwas foliowy, oferujemy także bogatą gamę herbatek ziołowych dla mam karmiących piersią, które wspierają proces lakatcji, pomagają pokryć zwiększone zapotrzebowanie na płyny, a także zapewniają dobre samopoczucie zarówno mamie, jak i jej dziecku."
trądzik,Dermokosmetyki do twarzy,1,"Dermokosmetyki to wysokiej jakości produkty, które mogą być używane nie tylko do pielęgnacji skóry, ale również do jej leczenia. Proponujemy szeroką gamę specjalistycznych preparatów w formie kremów, mleczek, toników, peelingów i koncentratów, które odznaczają się silnym działaniem antybakteryjnym, skutecznie zmniejszając poziom natłuszczenia skóry i redukując zaskórniki."
podrażnienia,Dermokosmetyki do twarzy,1,"Podrażnienie naskórka objawia się suchością oraz zaczerwienieniem. Do pielęgnacji wyjątkowo wrażliwej skóry twarzy proponujemy preparaty ze składnikami kojącymi i regenerującymi, które skutecznie eliminują świąd i łagodzą zaczerwienienia. Zawarte w nich pierwiastki, wyciągi roślinne i nienasycone kwasy tłuszczowe doskonale odżywiają, nawilżają i uelastyczniają skórę."
nocniki i podesty,Akcesoria dziecięce,1,
wody termalne,Dermokosmetyki do twarzy,1,"Wody termalne ze względu na swój unikalny skład są polecane do pielęgnacji każdego rodzaju skóry, nawet najbardziej wrażliwej. Kosmetyki te zawierają wysokie stężenie cennych minerałów, zwiększając elastyczność naskórka i wzmacniając jego naturalną barierę ochronną. Mogą być stosowane do pielęgnacji skóry suchej, podrażnionej i po zabiegach dermatologicznych."
spacery i podróże,Akcesoria dziecięce,1,
wsparcie w chorobie,Akcesoria dziecięce,1,
akcesoria do kąpieli,Akcesoria dziecięce,1,
zabawki,Akcesoria dziecięce,1,
pielęgnacja ust,Dermokosmetyki do twarzy,1,"Balsamy, pomadki oraz sztyfty wzbogacone witaminami i wyciągami z roślin są przeznaczone do pielęgnacji ust, zwłaszcza tych popękanych na skutek czynników atmosferycznych lub kuracji farmakologicznych. Dostępne kosmetyki doskonale regenerują i odżywiają wyjątkowo delikatną skórę warg, sprawiając, że usta stają się niezwykle miękkie, gładkie oraz elastyczne."
pielęgnacja twarzy,Dermokosmetyki do twarzy,1,"Kremy, maseczki, peelingi, mgiełki i olejki do pielęgnacji twarzy znajdujące się w tej kategorii to wysokiej jakości kosmetyki dostosowane do potrzeb każdego rodzaju cery. Ich formuły zostały opracowane w ten sposób, by dostarczać skórze niezbędnych związków odżywczych i nawilżających, wspomagając procesy regeneracyjne i przyczyniając się do prawidłowego funkcjonowania naskórka."
smoczki i akcesoria,Akcesoria dziecięce,1,
bezpieczeństwo w domu,Akcesoria dziecięce,1,
pokój dziecięcy,Akcesoria dziecięce,1,
pielęgnacja przeciwzmarszczkowa na dzień,Dermokosmetyki do twarzy,1,
pościel i tekstylia,Akcesoria dziecięce,1,
cera naczynkowa,Dermokosmetyki do twarzy,1,"Kosmetyki do pielęgnacji cery naczynkowej to nie tylko kremy ochronne na dzień i na noc, ale również żele, mleczka oraz wiele innych produktów o działaniu nawilżającym i kojącym podrażnienia. Dostępne w tej kategorii linie dermokosmetyków o zaawansowanych formułach zapewniają dogłębne odżywienie, a dzięki nowatorskim technologiom są polecane do codziennej pielęgnacji skóry naczynkowej."
obiadki,Żywienie dzieci,1,"Gama obiadków dostępnych w tej kategorii została w pełni dostosowana do potrzeb żywieniowych dzieci oraz niemowląt. Każdy produkt został przyrządzony na bazie pełnowartościowych składników, pochodzących ze sprawdzonych źródeł. Proponowane obiadki smakują jak domowe dania, a dzięki wyjątkowo delikatnym konsystencjom, idealnie sprawdzą się do nauki żucia."
zupki,Żywienie dzieci,1,"Pełne witamin i minerałów, lekkostrawne i bez dodatku substancji konserwujących – oto pełnowartościowe zupki dla dzieci, które zawierają najważniejsze składniki odżywcze w odpowiednich proporcjach. Proponowane produkty są smaczne i aromatyczne, a co więcej, doskonale zaspokajają głód. Mogą stanowić ważny element prawidłowego żywienia dzieci i niemowląt."
"oczyszczanie twarzy, demakijaż",Dermokosmetyki do twarzy,1,"Wody micelarne, żele, mleczka, emulsje oraz pianki oczyszczające są zalecane do codziennego demakijażu każdego rodzaju skóry. Dostępne produkty skutecznie oczyszczają naskórek z resztek makijażu i zanieczyszczeń, wspomagając jego naturalną barierę ochronną. Każdy z kosmetyków doskonale nawilża i wygładza, dodając cerze świeżości oraz młodzieńczego wigoru."
kaszki,Żywienie dzieci,1,"Kaszki Bobovita, Hipp, Humana, Lebenswert oraz Nestle to lekkostrawne i pełnowartościowe posiłki, które są smaczne, delikatne w smaku, a swoją konsystencją zostały dopasowane do wieku maluchów. Dostępne produkty mogą być podawane z mlekiem lub wodą, ale odżywczy posiłek będą stanowić również z dodatkiem owoców czy jogurtu. Każda z kaszek może być ważnym elementem codziennej diety dziecka."
kosmetyki,Dla mamy i kobiety w ciąży,1,"Odpowiednia pielęgnacja skóry w ciąży oraz po urodzeniu dziecka jest niezwykle ważna, zwłaszcza jeśli chcemy zapobiec nieestetycznym rozstępom, cellulitowi czy przebarwieniom. Znajdujące się w asortymencie naszej apteki kosmetyki dla mam oraz kobiet w ciąży zostały wyprodukowane na bazie przebadanych i sprawdzonych składników, dzięki którym są w pełni bezpieczne."
makijaż,Dermokosmetyki do twarzy,1,"Kosmetyki do makijażu cieszą się dużym zainteresowaniem. Są dostosowane do potrzeb skóry z różnymi problemami, dzięki czemu skutecznie maskują nie tylko zmiany trądzikowe czy przebarwienia, ale także blizny, a nawet zmarszczki. W ofercie posiadamy szeroką gamę podkładów we fluidzie, korektorów, błyszczyków, cieni do powiek i wielu innych produktów do makijażu."
herbatki,Żywienie dzieci,1,
homeopatia,Bez recepty,1,"Leki homeopatyczne cieszą się coraz większym uznaniem na rynku, gdyż są produkowane na bazie surowców pochodzenia roślinnego, zwierzęcego lub mineralnego. Preparaty te nie wywołują działań niepożądanych, dlatego mogą być podawane również dzieciom i osobom starszym. Skutecznie zwalczają ból gardła, nudności, zawroty głowy, infekcje dróg moczowych i wiele innych dolegliwości."
akcesoria,Dla mamy i kobiety w ciąży,1,"Zarówno w trakcie ciąży, jak i późniejszego okresu laktacji, każda mama powinna zadbać 
o komfort swój oraz swojego niemowlęcia. Akcesoria dostępne w tej kategorii to starannie zaprojektowane wyroby, których celem jest zmniejszenie bólu porodowego, wsparcie w naturalnym karmieniu dziecka piersią, a także ułatwienie opieki nad nowonarodzonym maluszkiem."
pielęgnacja przeciwzmarszczkowa na noc,Dermokosmetyki do twarzy,1,
zdrowe oczy,Bez recepty,1,"Chcesz poprawić swoje widzenie lub pozbyć się uciążliwych objawów zmęczenia oczu? 
W tej kategorii znajdziesz szeroki wybór preparatów, które pomogą nawilżyć wysuszone spojówki, chroniąc ich powierzchnię i przynosząc szybką ulgę dla oczu. Oferujemy krople do oczu, preparaty mineralno-witaminowe, a także środki przeznaczone do pielęgnacji soczewek kontaktowych."
artykuły higieniczne,Dla mamy i kobiety w ciąży,1,"Podkłady higieniczne, majki poporodowe, kompresy żelowe, a także wkładki laktacyjne to akcesoria, które stworzono w trosce o dobro kobiet w okresie ciąży, połogu oraz karmienia piersią. Dostępne artykuły zostały wykonane z nietoksycznych materiałów, dzięki czemu są w pełni bezpieczne zarówno dla mam, jak i ich dzieci. Wszystkie wyroby cechują się doskonałą jakością i funkcjonalnością."
